city,bazab,votes,avoda,yahadut,reshima,benet,kulanu,beytenu,likud,merets,atid,yarok,yahad,shas,cluster,population,,
עיר,בזב,הצבעה,המחנה הציוני,יהדות התורה,הרשימה המשותפת,הבית היהודי,כולנו,ישראל ביתנו,הליכוד,מרץ,יש עתיד,עלה ירוק,יחד,"ש""ס",קלאסטר,אוכלוסיה,,
ירושלים,385888,254359,24696,53948,3148,21266,11949,6032,61874,10166,10752,1619,18330,30579,4,730633,,
ירכא,9360,5990,685,0,2226,10,316,658,261,56,123,53,797,805,2,14196,,
כאבול,6993,5721,20,0,5625,0,3,0,12,34,0,5,9,13,2,11929,,
כוכב יאיר,7776,6069,2405,13,4,587,332,121,1049,412,1023,68,30,25,9,9489,,
כסיפה,6660,3097,146,1,2588,6,160,1,56,39,50,4,12,34,2,16160,,
כסרא-סמיע,4967,3196,632,1,168,44,209,1322,361,63,143,4,172,77,2,7201,,
כפר ברא,1903,1433,9,0,1328,0,0,1,5,88,0,1,0,1,3,2782,,
כפר ורדים,4400,3269,1572,4,13,138,223,38,373,413,433,34,16,12,9,5463,,
כפר יאסיף,7148,5073,147,7,4517,15,32,71,79,165,14,10,1,15,4,8504,,
כפר יונה,13798,10466,2568,62,5,607,1373,272,2931,284,1563,167,246,388,7,16411,,
כפר כמא,2361,1063,578,1,144,5,113,1,57,98,51,10,0,5,4,2898,,
כפר כנא,12582,8710,332,0,8097,3,39,64,27,64,4,1,4,75,2,18332,,
כפר מנדא,10484,7898,572,0,6505,7,19,2,60,107,3,3,10,610,2,15746,,
כפר סבא,75994,56332,19732,355,110,3148,4452,1912,12364,3380,8086,648,771,1374,8,79840,,
כפר קאסם,12781,7952,101,2,6410,7,14,3,34,1363,1,5,4,8,3,18352,,
כפר קרע,11227,8237,93,1,7843,2,125,2,26,135,1,2,0,7,4,14990,,
כפר שמריהו,1762,1198,636,6,4,29,40,9,157,102,194,11,8,2,10,1603,,
כפר תבור,2785,2089,852,5,6,144,163,28,413,96,324,22,20,16,8,2539,,
כרמיאל,39888,24633,4328,647,318,1367,2150,4532,6684,435,2995,359,188,630,5,42568,,
להבים,4740,3699,1406,4,46,164,296,73,717,233,684,31,28,17,9,5717,,
לוד,52711,31704,2216,275,5155,2065,2472,3288,10460,284,1757,290,1444,1998,4,68232,,
לכיש,491,405,238,0,1,11,8,1,18,65,55,7,0,1,5,8250,,
לקיה,6012,2583,13,0,2420,2,24,2,20,64,4,0,5,29,1,9233,,
מבשרת ציון,18713,13921,3724,74,23,759,1115,175,4521,1070,1518,105,301,536,8,22227,,
מג'ד אל-כרום,8940,6602,522,0,5895,1,7,3,11,123,8,3,3,26,2,10265,,
מג'דל שמס,580,107,40,0,0,1,14,2,40,4,1,2,0,3,2,9474,,
מגאר,14173,6497,1058,4,2580,37,718,809,211,136,127,18,20,779,2,19600,,
מגדל,20631,855,82,11,2,45,66,10,397,6,35,9,53,139,5,1359,,
מגדל העמק,1269,13244,1183,158,4,542,984,2236,4642,71,815,125,675,1809,5,23199,,
מגידו,585,448,235,0,2,11,27,3,30,74,62,3,1,0,6,9232,,
מודיעין עילית,23529,19820,6,15044,2,259,29,15,256,8,10,31,818,3342,1,39519,,
מזכרת בתיה,8656,6844,2197,18,7,513,726,141,1638,282,1006,89,84,143,8,8760,,
מזרעה,2665,2087,33,0,1898,0,3,1,10,122,0,0,7,13,2,3397,,
מטולה,1400,912,358,6,2,55,71,28,155,68,131,28,4,6,7,1509,,
מיתר,5734,4383,1416,11,19,580,347,66,884,181,714,58,69,38,9,6060,,
מסעדה,217,25,12,0,2,4,2,1,1,1,1,1,0,0,2,3021,,
מעיליא,2364,1732,141,0,1330,0,1,2,5,228,0,2,1,22,5,2829,,
מעלה אדומים,26709,19815,999,289,11,2895,1530,1248,9472,146,1144,237,844,1000,5,33048,,
מעלה אפרים,1165,638,70,4,4,133,42,39,237,5,27,16,54,7,5,1170,,
מעלה עירון,8400,5524,31,3,5331,2,12,3,12,83,2,0,1,44,2,12598,,
מעלות-תרשיחא,17628,11493,977,105,2298,889,766,2067,2708,158,510,126,206,683,5,19997,,
מצפה רמון,3556,2122,326,8,20,127,122,277,597,126,97,45,346,31,4,4359,,
משהד,4907,3346,41,0,3128,0,53,1,24,91,0,0,1,7,2,6911,,
נחף,7214,5031,28,0,4936,0,12,1,7,30,7,1,3,6,2,10491,,
נס ציונה,30675,23889,7656,173,25,1140,2355,550,5544,1029,4292,253,312,560,7,35599,,
נצרת,39087,32235,869,9,29881,6,136,126,343,677,70,43,12,63,3,71592,,
נצרת עילית,53232,21971,2269,80,3599,921,1618,4715,6054,350,1371,268,439,287,5,40624,,
נשר,19318,12787,2475,95,110,570,1367,1569,3955,228,1671,205,76,466,7,21945,,
נתיבות,19308,14571,295,1021,10,805,525,1068,4310,25,186,87,2836,3403,3,25572,,
נתניה,168914,105164,14575,2921,65,6851,11796,8424,35374,1538,11035,1089,3177,8319,5,175460,,
סאג'ור,2657,1423,338,0,21,29,236,324,189,8,50,4,35,189,3,3679,,
סביון,3458,2393,1055,13,3,59,80,42,417,208,459,33,17,7,10,2969,,
סח'נין,18647,15141,204,6,14603,5,71,11,27,149,16,1,9,39,2,25085,,
עומר,6184,4690,1782,8,21,259,349,81,1026,370,691,49,37,17,10,6190,,
עיילבון,3765,2630,359,1,1660,10,126,41,72,226,3,6,1,125,4,4765,,
עילוט,4475,1878,115,1,1578,3,25,3,49,12,1,2,3,86,2,6748,,
עין מאהל,7717,5656,35,0,5394,0,3,0,35,127,1,2,0,59,2,10946,,
עכו,40470,25543,1916,139,6655,1109,1631,2616,7818,206,938,181,388,1946,4,44675,,
עמנואל,1911,1373,2,395,0,64,3,1,79,0,1,9,360,459,2,2810,,
עספיא,8227,4284,968,4,922,14,1388,450,167,162,112,42,21,34,4,9526,,
עפולה,35667,22821,2531,426,17,1318,1983,2509,10129,210,1605,272,456,1365,5,38930,,
עראבה,14211,10254,35,3,9973,1,55,2,15,47,61,6,25,31,2,20618,,
ערד,20805,12238,1871,1837,96,526,746,1829,2764,260,1605,283,292,129,5,22203,,
ערערה,11475,7898,102,2,7653,4,26,2,21,72,4,3,5,4,2,21660,,
ערערה-בנגב,6558,3638,47,1,3335,15,36,6,39,126,6,4,8,15,2,11522,,
פוריידיס,7621,5049,147,1,3953,5,20,1,479,429,5,4,1,4,2,10800,,
פסוטה,2425,1333,117,0,1013,1,7,8,12,159,3,5,1,7,4,2866,,
פקיעין (בוקייעה),4011,2595,316,0,791,1,307,794,16,50,87,11,1,221,4,5287,,
פרדס חנה-כרכור,26651,18833,5199,117,65,1157,1810,743,5248,1258,1900,292,212,832,6,29637,,
פתח תקווה,177367,124087,22103,4810,85,13319,11846,8362,35013,2491,14661,1224,3227,6946,6,195634,,
צפת,21978,14027,672,1404,166,1008,663,1122,4019,63,404,158,2273,2075,4,27629,,
קדומים,2382,2043,5,12,0,1332,13,14,410,2,6,3,228,18,5,3524,,
קדימה-צורן,13273,10243,3293,33,10,507,950,295,2108,480,1861,127,101,478,7,16472,,
קלנסווה,12163,8508,71,3,8258,8,13,4,42,101,3,0,1,4,2,18162,,
קצרין,5769,3491,463,12,6,400,384,651,900,48,321,85,138,83,5,6342,,
קרני שומרון,4757,3650,87,24,0,1682,99,164,1107,13,61,54,277,82,6,5703,,
ראמה,5935,3495,505,1,1981,2,261,143,195,189,26,6,3,183,4,7150,,
ראש העין,30473,23629,4526,519,19,1628,2558,460,8276,576,2290,281,976,1520,6,37670,,
ראש פינה,2170,1609,615,6,7,103,107,23,300,181,176,30,45,16,7,2624,,
ראשון לציון,195958,137462,31492,924,86,7235,15780,9485,41394,2939,19953,1821,2258,4095,6,224253,,
רהט,26511,14851,311,3,13512,25,124,16,89,568,103,11,21,68,2,49910,,
רחובות,98300,69179,14317,2487,106,5793,6094,3651,18859,2612,8166,712,3050,3332,6,108763,,
ריינה,10217,6431,168,2,6066,1,44,3,75,56,4,1,2,9,3,17067,,
רכסים,5461,4635,66,2011,0,98,71,41,357,3,58,10,166,1754,2,8150,,
רמלה,52690,33263,2692,357,4994,1372,2843,1970,13325,347,1506,261,607,2989,4,61160,,
רמת גן,123618,84910,26515,834,196,5134,8288,2167,19542,5238,12152,978,1205,2661,7,140200,,
רמת השרון,35514,26587,11767,650,57,740,1606,287,4223,2392,3902,216,249,498,9,38062,,
רמת ישי,5433,4192,1562,4,2,234,393,67,873,196,718,49,53,41,8,6155,,
רעננה,60923,42753,14117,515,47,4673,2884,634,9190,2345,6076,416,974,882,8,66558,,
שבלי - אום אל-גנם,3586,2073,199,0,1756,4,40,31,4,25,7,1,3,3,2,4858,,
שגב-שלום,3761,1878,30,0,1679,4,19,2,16,89,5,2,2,30,2,7023,,
שדרות,17460,10732,806,143,18,1181,715,1275,4614,96,381,103,560,840,4,20346,,
שוהם,13852,11110,3491,29,8,1252,952,97,2364,444,2129,112,117,115,8,17888,,
שלומי,4828,3286,381,23,4,228,389,383,1175,34,236,51,56,326,5,5840,,
שעב,4249,3193,142,0,2880,2,8,17,5,84,1,3,1,50,2,5820,,
שפיר,469,397,58,5,0,61,42,6,133,6,39,5,28,14,5,8248,,
שפרעם,25674,14930,724,7,10971,11,353,2040,178,503,55,27,7,54,3,35606,,
תל מונד,8052,6224,2147,19,3,380,703,50,1328,232,1084,68,96,114,9,9997,,
תל שבע,7714,3534,22,0,3253,10,12,3,27,138,6,3,6,54,1,14643,,
